epoch,box,cls,obj,Recall,Precision,mAP@50,F1,mAP
001,1.831,2.754,4.700,0.029,0.304,0.018,0.023,0.006
002,1.459,2.268,3.811,0.107,0.384,0.073,0.078,0.032
003,1.400,1.898,3.526,0.169,0.387,0.131,0.142,0.062
004,1.343,1.712,3.323,0.215,0.408,0.185,0.209,0.095
005,1.304,1.606,3.182,0.244,0.420,0.223,0.244,0.118
006,1.279,1.543,3.096,0.271,0.435,0.255,0.275,0.138
007,1.252,1.486,3.022,0.286,0.463,0.276,0.297,0.152
008,1.233,1.453,2.978,0.293,0.463,0.290,0.308,0.162
009,1.221,1.421,2.931,0.300,0.477,0.300,0.319,0.169
010,1.214,1.400,2.906,0.309,0.480,0.308,0.326,0.175
011,1.198,1.372,2.870,0.311,0.485,0.314,0.331,0.179
012,1.198,1.364,2.857,0.314,0.492,0.319,0.335,0.182
013,1.190,1.345,2.838,0.316,0.480,0.322,0.336,0.185
014,1.183,1.331,2.818,0.321,0.483,0.327,0.339,0.188
015,1.177,1.323,2.804,0.324,0.491,0.331,0.344,0.192
016,1.171,1.312,2.790,0.328,0.498,0.335,0.347,0.195
017,1.164,1.301,2.777,0.329,0.505,0.338,0.351,0.198
018,1.164,1.299,2.770,0.333,0.504,0.342,0.355,0.201
019,1.163,1.293,2.762,0.338,0.503,0.347,0.359,0.204
020,1.151,1.276,2.743,0.340,0.506,0.350,0.361,0.206
021,1.153,1.275,2.741,0.340,0.513,0.354,0.365,0.208
022,1.146,1.268,2.729,0.343,0.515,0.358,0.368,0.211
023,1.145,1.263,2.716,0.347,0.513,0.362,0.370,0.214
024,1.143,1.257,2.714,0.349,0.517,0.365,0.374,0.216
025,1.144,1.257,2.712,0.354,0.515,0.369,0.378,0.219
026,1.138,1.251,2.700,0.355,0.523,0.373,0.382,0.222
027,1.138,1.246,2.702,0.355,0.528,0.376,0.384,0.224
028,1.131,1.240,2.688,0.361,0.526,0.379,0.388,0.226
029,1.135,1.242,2.691,0.364,0.528,0.382,0.392,0.228
030,1.130,1.233,2.679,0.367,0.538,0.385,0.395,0.230
031,1.129,1.235,2.682,0.370,0.543,0.387,0.399,0.232
032,1.128,1.232,2.677,0.370,0.551,0.391,0.402,0.234
033,1.122,1.227,2.665,0.373,0.553,0.393,0.405,0.236
034,1.122,1.223,2.666,0.376,0.552,0.395,0.408,0.237
035,1.118,1.217,2.657,0.377,0.556,0.397,0.410,0.239
036,1.121,1.218,2.657,0.380,0.552,0.399,0.412,0.240
037,1.117,1.214,2.649,0.376,0.557,0.401,0.412,0.241
038,1.120,1.216,2.655,0.376,0.560,0.402,0.413,0.242
039,1.119,1.218,2.657,0.375,0.564,0.404,0.415,0.243
040,1.106,1.206,2.631,0.379,0.558,0.405,0.416,0.245
041,1.111,1.204,2.634,0.380,0.558,0.406,0.417,0.246
042,1.113,1.205,2.641,0.381,0.557,0.408,0.419,0.247
043,1.111,1.207,2.643,0.383,0.559,0.410,0.421,0.248
044,1.112,1.206,2.636,0.385,0.559,0.411,0.422,0.249
045,1.103,1.196,2.617,0.386,0.554,0.412,0.423,0.250
046,1.102,1.192,2.617,0.384,0.564,0.412,0.424,0.251
047,1.102,1.192,2.619,0.386,0.566,0.414,0.427,0.252
048,1.103,1.192,2.613,0.388,0.565,0.415,0.428,0.253
